"County","Pop_2010"
"Beaver County",6629
"Box Elder County",49975
"Cache County",112656
"Carbon County",21403
"Daggett County",1059
"Davis County",306479
"Duchesne County",18607
"Emery County",10976
"Garfield County",5172
"Grand County",9225
"Iron County",46163
"Juab County",10246
"Kane County",7125
"Millard County",12503
"Morgan County",9469
"Piute County",1556
"Rich County",2264
"Salt Lake County",1029655
"San Juan County",14746
"Sanpete County",27822
"Sevier County",20802
"Summit County",36324
"Tooele County",58218
"Uintah County",32588
"Utah County",516564
"Wasatch County",23530
"Washington County",138115
"Wayne County",2778
"Weber County",231236
